dataset,process,crossSection = -99.99,totalEvents = -999,luminosity=-99.99,isLite=NO,isFastSim=NO,identifier,::PAT,::pickyTrimKT1-mu,::pickyTrimKT1-e,::pickyTrimKT1-met,::pickyTrimKT1-btag
QCD-PT1400to1800-pythia6,QCD,0.0340124,2000060,,YES,,QCD_Pt-1400to1800_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/QCD_Pt-1400to1800_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT1400to1800-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT1400to1800-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT1400to1800-pythia6,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT1400to1800-pythia6/pickyTrimKT1_lite_v0
QCD-PT1800toInf-pythia6,QCD,0.00185012,977586,,YES,,QCD_Pt-1800_TuneZ2star_8TeV_pythia6,/eos/uscms/store/user/lowette/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/QCD_Pt-1800_TuneZ2star_8TeV_pythia6/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_geq3_j30/QCD-PT1800toInf-pythia6/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/anyMu27_excl2_j70/QCD-PT1800toInf-pythia6/pickyTrimKT1_lite_v0,,/eos/uscms/store/user/nmccoll/skim_PAT/met_geq100/QCD-PT1800toInf-pythia6,/eos/uscms/store/user/rossin/skim_PAT/ht340_geq1bT/QCD-PT1800toInf-pythia6/pickyTrimKT1_lite_v0
ttbar-madgraph,ttbar,234,6904508,,NO,,TTJets_MassiveBinDECAY_TuneZ2star_8TeV-madgraph-tauola,/eos/uscms/store/user/rossin/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/TTJets_MassiveBinDECAY_TuneZ2star_8TeV-madgraph-tauola/v0,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/ttbar-madgraph/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/ttbar-madgraph/pickyTrimKT1_v0,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/ttbar-madgraph/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/ttbar-madgraph/pickyTrimKT1_v0,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/ttbar-madgraph/pickyTrimKT1_v0,
ttbar-powheg,ttbar,234,28150723,,NO,,TT_CT10_TuneZ2star_8TeV-powheg-tauola,/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/TT_CT10_TuneZ2star_8TeV-powheg-tauola/v2/;/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7A-v2/TT_CT10_TuneZ2star_8TeV-powheg-tauola/v2/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/ttbar-powheg/pickyTrimKT1_v2;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/ttbar-powheg/pickyTrimKT1_v2,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/ttbar-powheg/pickyTrimKT1_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/ttbar-powheg/pickyTrimKT1_v0,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/ttbar-powheg/pickyTrimKT1_v0,
t-tChannel-powheg,singleTop,56.4,3758227,,YES,,T_t-channel_TuneZ2star_8TeV-powheg-tauola,/pnfs/cms/WAX/resilient/bora12/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/T_t-channel_TuneZ2star_8TeV-powheg-tauola/lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/t-tChannel-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/t-tChannel-powheg/pickyTrimKT1_lite_v0,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/t-tChannel-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/t-tChannel-powheg/pickyTrimKT1_lite_v0,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/t-tChannel-powheg/pickyTrimKT1_lite_v0,
tbar-tChannel-powheg,singleTop,30.7,1935072,,YES,,Tbar_t-channel_TuneZ2star_8TeV-powheg-tauola,/pnfs/cms/WAX/resilient/rossin/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/Tbar_t-channel_TuneZ2star_8TeV-powheg-tauola/lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/tbar-tChannel-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/tbar-tChannel-powheg/pickyTrimKT1_lite_v0,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/tbar-tChannel-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/tbar-tChannel-powheg/pickyTrimKT1_lite_v0,/eos/uscms/store/user/sakoay/skim_PAT/geq2J70_met150/tbar-tChannel-powheg/pickyTrimKT1_lite_v0,
tW-powheg,singleTop,1.1775,2976510,,YES,,TToDilepton_tW-channel-DR_8TeV-powheg-tauola,/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/TToDilepton_tW-channel-DR_8TeV-powheg-tauola/lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/tW-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/tW-powheg/pickyTrimKT1_lite_v0,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/tW-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/tW-powheg/pickyTrimKT1_lite_v0,,
tbarW-powheg,singleTop,1.1775,2971482,,YES,,TBarToDilepton_tW-channel-DR_8TeV-powheg-tauola,/pnfs/cms/WAX/resilient/sakoay/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/TBarToDilepton_tW-channel-DR_8TeV-powheg-tauola/lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/tbarW-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/tbarW-powheg/pickyTrimKT1_lite_v0,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/tbarW-powheg/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/tbarW-powheg/pickyTrimKT1_lite_v0,,
ttZ-madgraph,ttZ,0.2057,210160,,YES,,TTZJets_8TeV-madgraph,/eos/uscms/store/user/rossin/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/TTZJets_8TeV-madgraph_v2/lite-v1/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/ttZ-madgraph/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/ttZ-madgraph/pickyTrimKT1_lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/ttZ-madgraph/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/ttZ-madgraph/pickyTrimKT1_lite_v0,/eos/uscms/store/user/nmccoll/skim_PAT/geq2J70_met150/ttZ-madgraph/pickyTrimKT1_v0/,
ttW-madgraph,ttW,0.232,194046,,YES,,TTWJets_8TeV-madgraph,/pnfs/cms/WAX/resilient/nmccoll/PAT/Summer12_DR53X-PU_S10_START53_V7A-v1/TTWJets_8TeV-madgraph/lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/mu27_geq3_j30/ttW-madgraph/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/mu27_excl2_j70/ttW-madgraph/pickyTrimKT1_lite_v0/,/eos/uscms/store/user/sakoay/skim_PAT/e29_geq3_j30/ttW-madgraph/pickyTrimKT1_lite_v0;/eos/uscms/store/user/sakoay/skim_PAT/e29_excl2_j70/ttW-madgraph/pickyTrimKT1_lite_v0,,
